requestid,problem_code,date_initiated,description,category,dispatch_to,address,zone,keymap,zip_code,status,initiated_date,initiated_time
218088,Tree Trim,2025-01-04 03:29 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4620 Rusk St,  Houston,  Texas,  77023","5, ZONE",494T,77023,CLOSED,2025-01-04,03:29 AM
218089,Tree Trim,2025-01-04 08:42 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","7510 Moline St,  Houston,  Texas,  77087","6, ZONE",535N,77087,CLOSED,2025-01-04,08:42 AM
218091,Tree Trim,2025-01-04 03:10 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","603 Langwood Dr,  Houston,  Texas,  77079 (Kendall Neighborhood Library)","2, ZONE",488G,77079,CLOSED,2025-01-04,03:10 PM
218092,Tree Trim,2025-01-04 03:13 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","6313 Sharpview Dr,  Houston,  Texas,  77074","7, ZONE",531J,77074,CLOSED,2025-01-04,03:13 PM
218093,Tree Stump Grinding,2025-01-04 09:23 PM,Tree Stump Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","903 Caplin St,  Houston,  Texas,  77022","4, ZONE",453R,77022,CLOSED,2025-01-04,09:23 PM
218094,Tree Removal,2025-01-05 12:10 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","5400 Memorial Dr,  Houston,  Texas,  77007","2, ZONE",492L,77007,CLOSED,2025-01-05,12:10 PM
218095,Tree Removal,2025-01-05 01:50 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3950 Rustic Woods Dr,  Kingwood,  Texas,  77339 (Dylan Duncan Skatepark","4, ZONE",297X,77339,CLOSED,2025-01-05,01:50 PM
218100,Tree Trim,2025-01-06 08:13 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","3018 Emancipation Ave,  Houston,  Texas,  77004 (Emancipation Park - Community Center)","6, ZONE",493Y,77004,CLOSED,2025-01-06,08:13 AM
218103,Tree Removal,2025-01-06 09:35 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5862 Greencraig Dr,  Houston,  Texas,  77035","7, ZONE",571E,77035,CLOSED,2025-01-06,09:35 AM
218104,Tree Trim,2025-01-06 09:50 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","604 Merrill St,  Houston,  Texas,  77009","3, ZONE",493B,77009,CLOSED,2025-01-06,09:50 AM
218105,Tree Trim,2025-01-06 09:53 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5402 Woodway Dr,  Houston,  Texas,  77056","2, ZONE",491L,77056,CLOSED,2025-01-06,09:53 AM
218106,Tree Removal,2025-01-06 10:29 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","7810 Moonmist Dr,  Houston,  Texas,  77036","2, ZONE",530F,77036,CLOSED,2025-01-06,10:29 AM
218109,Tree Removal,2025-01-06 11:44 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","12915 Glenwyck St,  Houston,  Texas,  77045","7, ZONE",572E,77045,CLOSED,2025-01-06,11:44 AM
218111,Tree Trim,2025-01-06 11:53 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","Almeda Genoa Rd & Almeda Rd,  Houston,  Texas,  77047","7, ZONE",572U,77047,CLOSED,2025-01-06,11:53 AM
218112,Tree Removal,2025-01-06 12:02 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","444 W 17Th St,  Houston,  Texas,  77008","3, ZONE",452Z,77008,CLOSED,2025-01-06,12:02 PM
218113,Tree Removal,2025-01-06 12:05 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4617 Walker St,  Houston,  Texas,  77023","5, ZONE",494T,77023,CLOSED,2025-01-06,12:05 PM
218114,Tree Removal,2025-01-06 12:14 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","6407 Darlinghurst Dr,  Houston,  Texas,  77085","7, ZONE",571P,77085,CLOSED,2025-01-06,12:14 PM
218124,Tree Removal,2025-01-06 04:27 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","12800 Dunlap Dr,  Houston,  Texas,  77085","7, ZONE",570M,77085,CLOSED,2025-01-06,04:27 PM
218126,Tree Removal,2025-01-06 05:33 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","15007 Nickerson Ln,  Houston,  Texas,  77060","4, ZONE",412D,77060,CLOSED,2025-01-06,05:33 PM
218127,Tree Removal,2025-01-06 06:45 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","3262 Holman St,  Houston,  Texas,  77004","6, ZONE",493Z,77004,CLOSED,2025-01-06,06:45 PM
218135,Tree Trim,2025-01-07 07:42 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","1430 Lakeside Estates Dr,  Houston,  Texas,  77042","2, ZONE",489Q,77042,CLOSED,2025-01-07,07:42 AM
218136,Tree Removal,2025-01-07 07:42 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2508 Gano St,  Houston,  Texas,  77009","4, ZONE",493D,77009,CLOSED,2025-01-07,07:42 AM
218137,Tree Removal,2025-01-07 08:24 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2315 Crestdale Dr,  Houston,  Texas,  77080 (Campbell Woods Park)","3, ZONE",450P,77080,CLOSED,2025-01-07,08:24 AM
218138,Tree Trim,2025-01-07 08:27 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","3708 Richmond Ave,  Houston,  Texas,  77046","2, ZONE",492X,77046,CLOSED,2025-01-07,08:27 AM
218139,Tree Removal,2025-01-07 08:27 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","2100 Arabelle St,  Houston,  Texas,  77007 (Cottage Grove Park)","3, ZONE",492F,77007,CLOSED,2025-01-07,08:27 AM
218140,Tree Removal,2025-01-07 08:33 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","605 Gregg St,  Houston,  Texas,  77020 (Gregg Street Park)","5, ZONE",494J,77020,CLOSED,2025-01-07,08:33 AM
218143,Tree Removal,2025-01-07 10:09 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1831 W 23Rd St,  Houston,  Texas,  77008 (Little Thicket Park)","3, ZONE",452T,77008,ROUTE,2025-01-07,10:09 AM
218144,Tree Removal,2025-01-07 10:18 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","12215 Pompano Ln,  Houston,  Texas,  77072","2, ZONE",529J,77072,CLOSED,2025-01-07,10:18 AM
218146,Tree Removal,2025-01-07 10:57 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","3830 Goulburn Dr,  Houston,  Texas,  77045","7, ZONE",572N,77045,CLOSED,2025-01-07,10:57 AM
218149,Tree Removal,2025-01-07 11:16 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","8319 St Lo Rd,  Houston,  Texas,  77033","6, ZONE",534W,77033,CLOSED,2025-01-07,11:16 AM
218152,Tree Removal,2025-01-07 01:22 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1218 Lamonte Ln,  Houston,  Texas,  77018","3, ZONE",452K,77018,CLOSED,2025-01-07,01:22 PM
218153,Tree Trim,2025-01-07 01:43 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5747 Meadow Creek Ln,  Houston,  Texas,  77017","5, ZONE",536T,77017,CLOSED,2025-01-07,01:43 PM
218159,Tree Code Violation,2025-01-07 03:01 PM,Tree Code Violation Inspection,TREEPROTECTION,"UF - ERICKSON, IAN","1042 Randolph St,  Houston,  Texas,  77088","3, ZONE",412P,77088,CLOSED,2025-01-07,03:01 PM
218162,Tree Removal,2025-01-07 04:38 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8815 Spaulding St,  Houston,  Texas,  77016","4, ZONE",454H,77016,CLOSED,2025-01-07,04:38 PM
218163,Tree Removal,2025-01-07 04:44 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","N Sidney St & Lovejoy St,  Houston,  Texas,  77003","5, ZONE",494P,77003,CLOSED,2025-01-07,04:44 PM
218168,Tree Removal,2025-01-07 08:05 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","8303 Bellaire Blvd,  Houston,  Texas,  77036","2, ZONE",530F,77036,CLOSED,2025-01-07,08:05 PM
218182,Tree Trim,2025-01-08 10:17 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","7200 Hillcroft Ave,  Houston,  Texas,  77074","7, ZONE",531J,77074,CLOSED,2025-01-08,10:17 AM
218188,Tree Trim,2025-01-08 12:54 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","5403 Petty St,  Houston,  Texas,  77007","3, ZONE",492C,77007,CLOSED,2025-01-08,12:54 PM
218191,Tree Trim,2025-01-08 01:45 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","402 E 9Th St,  Houston,  Texas,  77007","3, ZONE",493A,77007,CLOSED,2025-01-08,01:45 PM
218194,Tree Stump Grinding,2025-01-08 02:15 PM,Tree Stump Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5751 Farwell Dr,  Houston,  Texas,  77035","7, ZONE",571E,77035,ROUTE,2025-01-08,02:15 PM
218195,Tree Trim,2025-01-08 02:15 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","6034 Cartagena St,  Houston,  Texas,  77035","7, ZONE",570D,77035,CLOSED,2025-01-08,02:15 PM
218200,Tree Removal,2025-01-08 03:46 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8609 Caddo Rd,  Houston,  Texas,  77078","4, ZONE",415Y,77078,CLOSED,2025-01-08,03:46 PM
218201,Tree Trim,2025-01-08 07:31 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","3003 Delano St,  Houston,  Texas,  77004","6, ZONE",493Y,77004,CLOSED,2025-01-08,07:31 PM
218202,Tree Removal,2025-01-09 05:27 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4254 T C Jester Blvd,  Houston,  Texas,  77018","3, ZONE",451M,77018,CLOSED,2025-01-09,05:27 AM
218214,Tree Removal,2025-01-09 09:13 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5350 Wigton Dr,  Houston,  Texas,  77096","7, ZONE",531T,77096,CLOSED,2025-01-09,09:13 AM
218215,Tree Stump Grinding,2025-01-09 09:16 AM,Tree Stump Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5350 Wigton Dr,  Houston,  Texas,  77096","7, ZONE",531T,77096,CLOSED,2025-01-09,09:16 AM
218217,Tree Removal,2025-01-09 10:46 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5131 Kingfisher Dr,  Houston,  Texas,  77035","7, ZONE",571C,77035,ROUTE,2025-01-09,10:46 AM
218218,Tree Removal,2025-01-09 10:52 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5003 Briarbend Dr,  Houston,  Texas,  77035","7, ZONE",531Y,77035,CLOSED,2025-01-09,10:52 AM
218220,Tree Trim,2025-01-09 11:19 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","10609 Westpark Dr,  Houston,  Texas,  77042","2, ZONE",529D,77042,CLOSED,2025-01-09,11:19 AM
218221,Tree Removal,2025-01-09 11:46 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4208 Engleford St,  Houston,  Texas,  77026","4, ZONE",454X,77026,CLOSED,2025-01-09,11:46 AM
218224,Tree Trim,2025-01-09 12:25 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ACOSTA, MELISSA","6317 Rodrigo St,  Houston,  Texas,  77007","2, ZONE",492F,77007,CLOSED,2025-01-09,12:25 PM
218230,Tree Trim,2025-01-09 02:52 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5502 Barremore St,  Houston,  Texas,  77023","5, ZONE",534C,77023,CLOSED,2025-01-09,02:52 PM
218232,Tree Planting,2025-01-09 03:53 PM,Tree Planting Inspection,TREEPROTECTION,"UF - JONES, CODY","1027 Prince St,  Houston,  Texas,  77008","3, ZONE",492C,77008,CLOSED,2025-01-09,03:53 PM
218236,Tree Trim,2025-01-10 02:22 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","4022 Bellefontaine St,  Houston,  Texas,  77025","7, ZONE",532E,77025,CLOSED,2025-01-10,02:22 AM
218239,Tree Trim,2025-01-10 08:32 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","3344 Crossview Dr,  Houston,  Texas,  77063","2, ZONE",490Y,77063,CLOSED,2025-01-10,08:32 AM
218240,Tree Trim,2025-01-10 08:38 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5501 Southlea St,  Houston,  Texas,  77033","6, ZONE",534N,77033,CLOSED,2025-01-10,08:38 AM
218241,Tree Trim,2025-01-10 09:26 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8504 Schuller Rd,  Houston,  Texas,  77093","4, ZONE",454E,77093,CLOSED,2025-01-10,09:26 AM
218242,Tree Trim,2025-01-10 09:47 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","18411 Lakeview Cir,  Houston,  Texas,  77084","3, ZONE",447W,77084,CLOSED,2025-01-10,09:47 AM
218249,Tree Removal,2025-01-10 11:02 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5711 Grape St,  Houston,  Texas,  77096","7, ZONE",531N,77096,CLOSED,2025-01-10,11:02 AM
218251,Tree Trim,2025-01-10 11:17 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","9910 Bob White Dr,  Houston,  Texas,  77096","7, ZONE",530V,77096,CLOSED,2025-01-10,11:17 AM
218254,Tree Removal,2025-01-10 12:36 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1062 Chantilly Ln,  Houston,  Texas,  77018","3, ZONE",452L,77018,CLOSED,2025-01-10,12:36 PM
218256,Tree Removal,2025-01-10 01:48 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","11502 Kirkmeadow Dr,  Houston,  Texas,  77089","6, ZONE",576X,77089,CLOSED,2025-01-10,01:48 PM
218262,Tree Removal,2025-01-10 04:40 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","7617 Edna St,  Houston,  Texas,  77087","6, ZONE",535N,77087,CLOSED,2025-01-10,04:40 PM
218264,Tree Trim,2025-01-10 05:58 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","4731 Old Spanish Trl,  Houston,  Texas,  77021","6, ZONE",534E,77021,CLOSED,2025-01-10,05:58 PM
218265,Tree Trim,2025-01-10 09:20 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","7903 Meadowvale Dr,  Houston,  Texas,  77063","2, ZONE",490Z,77063,ROUTE,2025-01-10,09:20 PM
218266,Tree Removal,2025-01-11 12:29 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2511 Ohsfeldt St,  Houston,  Texas,  77008","3, ZONE",452T,77008,CLOSED,2025-01-11,12:29 AM
218267,Tree Trim,2025-01-11 04:45 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","9898 Club Creek Dr,  Houston,  Texas,  77036","2, ZONE",529R,77036,CLOSED,2025-01-11,04:45 AM
218268,Tree Removal,2025-01-11 06:24 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3821 Palm St,  Houston,  Texas,  77004","6, ZONE",533H,77004,ROUTE,2025-01-11,06:24 AM
218269,Tree Removal,2025-01-11 11:01 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","3817 Palm St,  Houston,  Texas,  77004","6, ZONE",533H,77004,ROUTE,2025-01-11,11:01 AM
218270,Tree Trim,2025-01-11 02:59 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","12102 Teaneck Dr,  Houston,  Texas,  77089","6, ZONE",616D,77089,CLOSED,2025-01-11,02:59 PM
218271,Tree Trim,2025-01-12 02:16 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - BHATTARAI, NIMESH","8203 Vogue Ln,  Houston,  Texas,  77055 (Schwartz Park - Aquatic Center)","3, ZONE",451N,77055,CLOSED,2025-01-12,02:16 AM
218272,Tree Removal,2025-01-12 03:00 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","548 Westshire Dr,  Houston,  Texas,  77013 (Songwood Park)","4, ZONE",496E,77013,CLOSED,2025-01-12,03:00 PM
218273,Tree Trim,2025-01-12 03:51 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY","9585 Clay Rd,  Houston,  Texas,  77080","3, ZONE",450K,77080,CLOSED,2025-01-12,03:51 PM
218286,Tree Trim,2025-01-13 10:16 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","2033 Wroxton Rd,  Houston,  Texas,  77005","7, ZONE",532D,77005,CLOSED,2025-01-13,10:16 AM
218291,Tree Removal,2025-01-13 11:34 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","10103 Milda Dr,  Houston,  Texas,  77088","3, ZONE",411J,77088,CLOSED,2025-01-13,11:34 AM
218295,Tree Trim,2025-01-13 12:43 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5702 Glenarm St,  Houston,  Texas,  77020","4, ZONE",494C,77020,CLOSED,2025-01-13,12:43 PM
218301,Tree Removal,2025-01-13 02:02 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8122 Record St,  Houston,  Texas,  77028","4, ZONE",455B,77028,CLOSED,2025-01-13,02:02 PM
218303,Tree Trim,2025-01-13 02:07 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","1002 E 28Th St,  Houston,  Texas,  77009","3, ZONE",453N,77009,CLOSED,2025-01-13,02:07 PM
218304,Tree Removal,2025-01-13 02:08 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","1817 Albans Rd,  Houston,  Texas,  77005","7, ZONE",532D,77005,CLOSED,2025-01-13,02:08 PM
218306,Tree Stump Grinding,2025-01-13 02:14 PM,Tree Stump Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","7550 Weyburn St,  Houston,  Texas,  77028","4, ZONE",455E,77028,ROUTE,2025-01-13,02:14 PM
218308,Tree Removal,2025-01-13 02:26 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","222 Rouse St,  Houston,  Texas,  77020","4, ZONE",494D,77020,CLOSED,2025-01-13,02:26 PM
218316,Tree Removal,2025-01-13 03:56 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","3124 Tilfer St,  Houston,  Texas,  77087","6, ZONE",534M,77087,CLOSED,2025-01-13,03:56 PM
218319,Tree Removal,2025-01-13 04:08 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3414 North Fwy,  Houston,  Texas,  77009","4, ZONE",453Q,77009,CLOSED,2025-01-13,04:08 PM
218323,Tree Removal,2025-01-13 10:24 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","10606 Glenwolde Dr,  Houston,  Texas,  77099","2, ZONE",529Q,77099,CLOSED,2025-01-13,10:24 PM
218324,Tree Removal,2025-01-14 01:28 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","14441 Croquet Ln,  Houston,  Texas,  77085 (Windsor Village Park - Swimming Pooll)","7, ZONE",571P,77085,CLOSED,2025-01-14,01:28 AM
218327,Tree Trim,2025-01-14 08:05 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2219 Ashland St,  Houston,  Texas,  77008","3, ZONE",452V,77008,CLOSED,2025-01-14,08:05 AM
218328,Tree Removal,2025-01-14 08:37 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","302 Altic St,  Houston,  Texas,  77011 (Harrisburg Hike and Biking Trai)","5, ZONE",494U,77011,CLOSED,2025-01-14,08:37 AM
218332,Tree Removal,2025-01-14 09:39 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY","421 Emerson St,  Houston,  Texas,  77006 (Montrose)","2, ZONE",493T,77006,CLOSED,2025-01-14,09:39 AM
218340,Tree Removal,2025-01-14 11:07 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2311 Nicholson St,  Houston,  Texas,  77008","3, ZONE",452V,77008,CLOSED,2025-01-14,11:07 AM
218345,Tree Trim,2025-01-14 12:20 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","7252 W Bellfort Ave,  Houston,  Texas,  77071 (Robert C Stuart Park)","7, ZONE",570C,77071,CLOSED,2025-01-14,12:20 PM
218352,Tree Trim,2025-01-14 01:05 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","2600 W 11th St,  Houston,  Texas,  77008 (West 11th Street Park)","3, ZONE",492B,77008,CLOSED,2025-01-14,01:05 PM
