workorderid,description,priority,status,submit_to,proj_start_date,proj_finish_date,actual_start,actual_finish,shop,map_page,address,location,category,date_initiated,project,total_cost,comments,zone,request_ids,resolution,sr_problem_code,sr_description,sr_priority,projected_start_date,projected_start_time,projected_finish_date,projected_finish_time,actual_start_date,actual_start_time,actual_finish_date,actual_finish_time,initiated_date,initiated_time
365933,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 09:24:00,2024-01-04 09:24:00,2023-01-04 09:24:00,2023-01-04 12:00:00,C,492A,HEMPSTEAD RD & W 11TH ST,"34 Live Oaks - 2 1/2"" caliper ",TREEPLANTING,2023-01-04 09:24 AM,,0.0,"From Request 192616:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: 
  Comments: Please see inquiry. Please see email attached regarding site visit. Meet with Tina Shumway on Thursday, 12/29/22 at 8:30 AM to review preserved","3, ZONE",192616,09 - Tree Portal entry completed.,Tree Removal,Tree Removal Inspection,0.0,2023-01-04,09:24 AM,2024-01-04,09:24 AM,2023-01-04,09:24 AM,2023-01-04,12:00 PM,2023-01-04,09:24 AM
365934,REMOVAL BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2023-01-04 09:27:00,2023-01-14 09:27:00,2023-01-04 09:27:00,2023-01-05 10:39:00,03,531Q,5151 JASON ST (MEYERLAND PARK),"Remove 1 less than 10"" red oak next to baseball field fence ",TREEMAINTENANCE,2023-01-04 09:27 AM,,0.0,"From Request 190194:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-08-30T14:27:13.667-05:00 Dynamic365 Case Id : 2200571700
  Comments: Rig","7, ZONE",190194,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-04,09:27 AM,2023-01-14,09:27 AM,2023-01-04,09:27 AM,2023-01-05,10:39 AM,2023-01-04,09:27 AM
365935,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 09:33:00,2024-01-04 09:33:00,2023-01-04 09:33:00,2023-01-04 12:00:00,B,455P,8250 KENTON ST,"2 Oaks - 1 1/2"" caliper ",TREEPLANTING,2023-01-04 09:33 AM,,0.0,"From Request 192624:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see site plan.","4, ZONE",192624,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6.0,2023-01-04,09:33 AM,2024-01-04,09:33 AM,2023-01-04,09:33 AM,2023-01-04,12:00 PM,2023-01-04,09:33 AM
365936,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 09:57:00,2023-02-03 09:57:00,2023-01-04 16:42:00,2023-02-21 12:00:00,E,257U,25840 FM 1485 RD (LAKE HOUSTON WILDERNESS PARK),"Remove 4 Pine trees at Lake Houston Wilderness Park. 2 located near building, 2 near gates/trails. Contact Lauren Hollenbeck @ (832) 395-7318 or (281) 507-5729.  ",TREEMAINTENANCE,2023-01-04 09:57 AM,FY23 - Tree Maintenance,1086.0,INV 136639,"4, ZONE",192517,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-04,09:57 AM,2023-02-03,09:57 AM,2023-01-04,04:42 PM,2023-02-21,12:00 PM,2023-01-04,09:57 AM
365937,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2023-01-04 09:59:00,2023-01-14 09:59:00,2023-01-04 09:59:00,2023-01-05 10:17:00,02,530V,5900 N BRAESWOOD BLVD,"Prune small broken branches from 28"" Ash next to one way sign and at Dunlap intersection ",TREEMAINTENANCE,2023-01-04 09:59 AM,,94.0,"From Request 190305:
  Code: Tree Trim
  Description: Tree Trim Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-09-02T11:27:31.397-05:00 Dynamic365 Case Id : 2200575894
  Comments: Entered C","7, ZONE",190305,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-04,09:59 AM,2023-01-14,09:59 AM,2023-01-04,09:59 AM,2023-01-05,10:17 AM,2023-01-04,09:59 AM
365938,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 10:27:00,2023-02-03 10:27:00,2023-03-13 12:00:00,2023-06-20 12:00:00,J,530W,9338 SANFORD RD,"Remove and stump grind dead greater than 45"" ash",TREEMAINTENANCE,2023-01-04 10:27 AM,FY23 - Tree Maintenance,845.0,Invoice #142099,"7, ZONE","190303,194300",00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-04,10:27 AM,2023-02-03,10:27 AM,2023-03-13,12:00 PM,2023-06-20,12:00 PM,2023-01-04,10:27 AM
365939,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 10:45:00,2023-02-03 10:45:00,2023-03-13 12:00:00,2023-10-05 12:00:00,K,530X,8250 CREEKBEND DR,Remove and stump grind 2 Pines at given address ,TREEMAINTENANCE,2023-01-04 10:45 AM,FY24 - Prime Trees,462.0,Invoice #147661,"7, ZONE",190203,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-04,10:45 AM,2023-02-03,10:45 AM,2023-03-13,12:00 PM,2023-10-05,12:00 PM,2023-01-04,10:45 AM
365940,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 10:55:00,2023-07-17 10:55:00,2023-03-13 12:00:00,2023-08-12 12:00:00,D,534N,"5301 RAPIDO RD, HOUSTON, TEXAS, 77033",Remove one water oak at the intersection of rapido and MLK and grind the resulting stump. ,TREEMAINTENANCE,2023-01-04 10:55 AM,FY24 - Prime Trees,582.0,Invoice #145050,"6, ZONE",190762,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-04,10:55 AM,2023-07-17,10:55 AM,2023-03-13,12:00 PM,2023-08-12,12:00 PM,2023-01-04,10:55 AM
365941,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 12:26:00,2023-02-03 12:26:00,2023-03-13 12:00:00,2023-05-22 12:00:00,K,530Z,11018 SOUTHWOLD LN,Prune 7 trees on Sandpiper between Benning and Portal for 14' over the street clearance ,TREEMAINTENANCE,2023-01-04 12:26 PM,FY23 - Tree Maintenance,603.0,Invoice #140855,"7, ZONE",190073,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-04,12:26 PM,2023-02-03,12:26 PM,2023-03-13,12:00 PM,2023-05-22,12:00 PM,2023-01-04,12:26 PM
365942,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2023-01-04 12:33:00,2023-01-14 12:33:00,2023-01-04 12:33:00,2023-01-05 09:51:00,01,530Z,11018 SOUTHWOLD LN,"Pune 3- 5 small less than 10"" trees growing into the street Sanford and Benning on sandpipper",TREEMAINTENANCE,2023-01-04 12:33 PM,,309.0,"From Request 190073:
  Code: Tree Trim
  Description: Tree Trim Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-08-26T13:02:07.946-05:00 Dynamic365 Case Id : 2200567476
  Comments: Tree trim","7, ZONE",190073,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-04,12:33 PM,2023-01-14,12:33 PM,2023-01-04,12:33 PM,2023-01-05,09:51 AM,2023-01-04,12:33 PM
365943,EMERGENCY REMOVAL BY IN-HOUSE,1,CLOSED,"UF, IN-HOUSE",2023-01-04 12:59:00,2023-01-05 12:59:00,2023-01-04 12:59:00,2023-01-07 13:59:00,05,534Q,"6523 LONG DR, HOUSTON, TEXAS, 77087",Remove one downed Chinese Tallow between road and parking lot inside cullinan park.,TREEMAINTENANCE,2023-01-04 12:59 PM,,157.0,"From Request 190745:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-09-19T16:05:11.690-05:00 Dynamic365 Case Id : 2200594595
  Comments: Ent","6, ZONE",190745,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-04,12:59 PM,2023-01-05,12:59 PM,2023-01-04,12:59 PM,2023-01-07,01:59 PM,2023-01-04,12:59 PM
365944,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 14:10:00,2024-01-04 14:10:00,2023-01-04 14:10:00,2023-01-04 12:00:00,C,451A,"7600 WILCREST, HOUSTON, TX",85 Mixed Native Species 3-5 gallon,TREEPLANTING,2023-01-04 02:10 PM,,0.0,"From Request 192669:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Plan approved. Please stamp and send. Thanks.","3, ZONE",192669,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,3.0,2023-01-04,02:10 PM,2024-01-04,02:10 PM,2023-01-04,02:10 PM,2023-01-04,12:00 PM,2023-01-04,02:10 PM
365945,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 14:13:00,2024-01-04 14:13:00,2023-01-04 14:13:00,2023-01-04 12:00:00,F,529L,7800 - 7900 BLOCK OF WILCREST DR,133 Mixed Native Species 3-5 gallon,TREEPLANTING,2023-01-04 02:13 PM,,0.0,"From Request 192475:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see tree planting plan. Please see inquiry. Please double check, but I think Water Oak and Chinkapin Oak are not approve","2, ZONE",192475,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,5.0,2023-01-04,02:13 PM,2024-01-04,02:13 PM,2023-01-04,02:13 PM,2023-01-04,12:00 PM,2023-01-04,02:13 PM
365946,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-05 07:49:00,2024-01-05 07:49:00,2023-01-05 07:49:00,2023-01-05 12:00:00,B,456B,8627 VALLEY GOLD CT,"1 Oak - 1 1/2"" caliper ",TREEPLANTING,2023-01-05 07:49 AM,,0.0,"From Request 191585:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Urban Forestry has inspected the site and determined there are two existing palm trees within the right-of-way between the thre","4, ZONE",191585,00 - Work completed by in-house or contractor.,Tree Protection Rev,Tree Protection Review Inspection,6.0,2023-01-05,07:49 AM,2024-01-05,07:49 AM,2023-01-05,07:49 AM,2023-01-05,12:00 PM,2023-01-05,07:49 AM
365947,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 08:09:00,2023-02-04 08:09:00,2023-03-13 12:00:00,2023-11-06 12:00:00,K,572S,4303 BROWNSTONE LN,"Remove and stump grind 30"" ash",TREEMAINTENANCE,2023-01-05 08:09 AM,FY24 - Prime Trees,582.0,Invoice #149606,"7, ZONE","190062,195975",00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-05,08:09 AM,2023-02-04,08:09 AM,2023-03-13,12:00 PM,2023-11-06,12:00 PM,2023-01-05,08:09 AM
365948,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-05 08:13:00,2024-01-05 08:13:00,2023-01-05 08:13:00,2023-01-05 12:00:00,I,456T,5006 WYNNEWOOD ST,"2 Oaks - 1 1/2"" caliper",TREEPLANTING,2023-01-05 08:13 AM,,0.0,"From Request 192439:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see site plan. 12"", 11"", 13"", 4"", 10"", 12"" Water OaksPlease see inquiry.","4, ZONE",192439,00 - Work completed by in-house or contractor.,Tree Protection Rev,Tree Protection Review Inspection,0.0,2023-01-05,08:13 AM,2024-01-05,08:13 AM,2023-01-05,08:13 AM,2023-01-05,12:00 PM,2023-01-05,08:13 AM
365949,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 09:00:00,2023-02-04 09:00:00,2023-03-13 12:00:00,2023-08-28 12:00:00,I,534M,"4143 HUEY ST, HOUSTON, TEXAS, 77087",Remove one dead tree at the intersection of Pecan and Huey and grind the resulting stump. ,TREEMAINTENANCE,2023-01-05 09:00 AM,FY24 - Prime Trees,157.5,Invoice #145731,"6, ZONE",190829,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-05,09:00 AM,2023-02-04,09:00 AM,2023-03-13,12:00 PM,2023-08-28,12:00 PM,2023-01-05,09:00 AM
365950,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 09:55:00,2023-02-04 09:55:00,2023-03-13 12:00:00,2023-04-24 12:00:00,K,572E,4010 REGENCY DR,"Prune 30"" Tallow for 14' over the street and driveway clearance.",TREEMAINTENANCE,2023-01-05 09:55 AM,FY23 - Tree Maintenance,105.0,Invoice# 139394.,"7, ZONE",190166,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-05,09:55 AM,2023-02-04,09:55 AM,2023-03-13,12:00 PM,2023-04-24,12:00 PM,2023-01-05,09:55 AM
365951,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 10:49:00,2023-02-04 10:49:00,2023-01-05 10:49:00,2023-01-06 12:00:00,C,493A,525 HEIGHTS BLVD HOUSTON TX,In esplanade across from address emergency remove fallen tree ,TREEMAINTENANCE,2023-01-05 10:49 AM,FY23 - Tree Maintenance,246.0,Invoice#135249,"3, ZONE",192651,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,1.0,2023-01-05,10:49 AM,2023-02-04,10:49 AM,2023-01-05,10:49 AM,2023-01-06,12:00 PM,2023-01-05,10:49 AM
365952,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 10:53:00,2023-02-04 10:53:00,2023-03-13 12:00:00,2023-08-24 12:00:00,K,571F,12210 CHIMNEY ROCK RD,"Remove and stump grind 42"" dead ash",TREEMAINTENANCE,2023-01-05 10:53 AM,FY24 - Prime Trees,682.0,Invoice #145731,"7, ZONE",190321,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3.0,2023-01-05,10:53 AM,2023-02-04,10:53 AM,2023-03-13,12:00 PM,2023-08-24,12:00 PM,2023-01-05,10:53 AM
365953,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 11:08:00,2023-02-04 11:08:00,2023-03-13 12:00:00,2023-07-18 12:00:00,H,493B,"709 WENDEL ST, HOUSTON, TEXAS, 77009",Remove and stump grind dead Live Oak in front of address. Call customer before arrival at 713-703-1412,TREEMAINTENANCE,2023-01-05 11:08 AM,FY24 - Prime Trees,682.0,Invoice #143736,"3, ZONE",190570,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,1.0,2023-01-05,11:08 AM,2023-02-04,11:08 AM,2023-03-13,12:00 PM,2023-07-18,12:00 PM,2023-01-05,11:08 AM
365954,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 11:17:00,2023-02-04 11:17:00,2023-03-13 12:00:00,2023-06-07 12:00:00,K,571F,5500 DRYAD DR,Prune 2 live Oaks to 14' over the street clearance. On Dryad Dr,TREEMAINTENANCE,2023-01-05 11:17 AM,,183.0,"Per contractor, work has already been completed. Cancel work order. See email and photo attached.","7, ZONE",190084,07 - Canceled. Work already completed upon arrival.,Tree Trim,Tree Trim Inspection,3.0,2023-01-05,11:17 AM,2023-02-04,11:17 AM,2023-03-13,12:00 PM,2023-06-07,12:00 PM,2023-01-05,11:17 AM
365955,EMERGENCY REMOVAL BY IN-HOUSE,1,CLOSED,"UF, IN-HOUSE",2023-01-05 11:30:00,2023-01-06 11:30:00,2023-01-05 11:30:00,2023-01-07 11:48:00,02,493T,"3007 BRAZOS ST, HOUSTON, TEXAS, 77006",Emergency remove fallen Palm trees impeding sidewalk and driveway ,TREEMAINTENANCE,2023-01-05 11:30 AM,,178.0,we started this job but the chipper truck got full so we did not complete this job,"2, ZONE",191504,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,1.0,2023-01-05,11:30 AM,2023-01-06,11:30 AM,2023-01-05,11:30 AM,2023-01-07,11:48 AM,2023-01-05,11:30 AM
365956,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 11:33:00,2023-02-04 11:33:00,2023-03-13 12:00:00,2023-06-16 12:00:00,C,493T,3007 BRAZOS ST HOUSTOB TX,Remove and stump grindntwo dead Palms on either side of driveway,TREEMAINTENANCE,2023-01-05 11:33 AM,FY23 - Tree Maintenance,283.0,"Per contractor, work completed upon arrival. See photo and email attached. Canceling work order.","2, ZONE",191504,07 - Canceled. Work already completed upon arrival.,Tree Removal,Tree Removal Inspection,1.0,2023-01-05,11:33 AM,2023-02-04,11:33 AM,2023-03-13,12:00 PM,2023-06-16,12:00 PM,2023-01-05,11:33 AM
365957,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 13:33:00,2023-02-04 13:33:00,2023-01-10 11:02:00,2023-01-10 12:00:00,K,570E,12100 RICEVILLE SCHOOL RD (GLENSHIRE PARK),Remove and stump grind all marked trees at Glenshire Park. 68 trees total. ,TREEMAINTENANCE,2023-01-05 01:33 PM,FY23 - Tree Maintenance,11002.0,Invoice#135423,"7, ZONE",192683,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,1.0,2023-01-05,01:33 PM,2023-02-04,01:33 PM,2023-01-10,11:02 AM,2023-01-10,12:00 PM,2023-01-05,01:33 PM
365958,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-05 13:56:00,2023-02-04 13:56:00,2023-03-13 12:00:00,2023-03-31 12:00:00,B,494L,"1158 CARROLL OLIVER WAY, HOUSTON, TEXAS, 77020",Trim one Private live oak to clear obstruction for street light. Tree is across the park.,TREEMAINTENANCE,2023-01-05 01:56 PM,FY24 - Prime Trees,115.0,Invoice #138313,"5, ZONE",190672,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-05,01:56 PM,2023-02-04,01:56 PM,2023-03-13,12:00 PM,2023-03-31,12:00 PM,2023-01-05,01:56 PM
365959,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2023-01-05 20:54:00,2023-01-15 20:54:00,2023-01-05 20:54:00,2023-01-09 13:19:00,02,529E,11903 BELLAIRE BLVD (ALIEF NEIGHBORHOOD PARK),Trim 10 Live Oaks on the Kirkwood side of the park near Bellaire. See photos. Prune for aesthetics and remove deadwood.,TREEMAINTENANCE,2023-01-05 08:54 PM,,892.0,Trimmed 23  trees,"2, ZONE",191714,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3.0,2023-01-05,08:54 PM,2023-01-15,08:54 PM,2023-01-05,08:54 PM,2023-01-09,01:19 PM,2023-01-05,08:54 PM
